# Nucleation_trajectory-3 nframes 1551 last 1551 stride 10
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1461 2880 688 349 420 26 152 1245 1037 1014 18 1646 1632 2 93 896 669 1658 1644 2
1471 2880 709 351 378 27 160 1255 1060 1050 9 1665 1653 2 77 897 677 1651 1651 1
1481 2880 756 362 393 37 195 1137 1118 1098 16 1730 1730 1 100 947 730 1777 1777 1
1491 2880 793 365 363 37 211 1111 1158 1150 9 1813 1813 1 125 896 777 1798 1798 1
1501 2880 749 360 337 45 232 1157 1109 1100 10 1704 1704 1 106 873 727 1706 1706 1
1511 2880 833 423 326 23 177 1098 1256 1247 10 1803 1803 1 144 866 803 1813 1813 1
1521 2880 829 413 358 24 163 1093 1242 1233 7 1849 1849 1 116 955 797 1868 1868 1
1531 2880 901 421 351 33 195 979 1322 1314 8 1956 1956 1 144 1014 834 1992 1992 1
1541 2880 952 449 345 25 209 900 1401 1394 8 1969 1969 1 146 1020 826 1992 1992 1
1551 2880 932 445 401 15 158 929 1377 1369 8 1994 1994 1 149 993 861 2003 2003 1
